# x l P_ref P_forward P_backward_exp abs_err_forward rel_err_forward abs_err_backward rel_err_backward
0.5 2 -1.250000000000000e-01 -1.250000000000000e-01 -6.034162839402818e+00 0.000000000000000e+00 0.000000000000000e+00 5.909162839402818e+00 4.727330271522254e+01
0.5 3 -4.375000000000000e-01 -4.375000000000000e-01 -1.092131755887315e-01 0.000000000000000e+00 0.000000000000000e+00 3.282868244112685e-01 7.503698843686137e-01
0.5 4 -2.890625000000000e-01 -2.890625000000000e-01 4.430060600911974e+00 0.000000000000000e+00 0.000000000000000e+00 4.719123100911974e+00 1.632561505180358e+01
0.5 5 8.984375000000000e-02 8.984375000000000e-02 4.074425081291762e+00 0.000000000000000e+00 0.000000000000000e+00 3.984581331291762e+00 4.435012264394309e+01
0.5 6 3.232421875000000e-01 3.232421875000000e-01 4.317249042413656e-02 0.000000000000000e+00 0.000000000000000e+00 2.800696970758634e-01 8.664391837029732e-01
0.5 7 2.231445312500000e-01 2.231445312500000e-01 -3.452275614284812e+00 0.000000000000000e+00 0.000000000000000e+00 3.675420145534812e+00 1.647102944869868e+01
0.5 8 -7.363891601562500e-02 -7.363891601562500e-02 -3.274284317513130e+00 0.000000000000000e+00 0.000000000000000e+00 3.200645401497505e+00 4.346404828689194e+01
0.5 9 -2.678985595703125e-01 -2.678985595703125e-01 -2.369019828701270e-02 0.000000000000000e+00 0.000000000000000e+00 2.442083612832998e-01 9.115702662791101e-01
0.5 10 -1.882286071777344e-01 -1.882286071777344e-01 2.924350197389155e+00 0.000000000000000e+00 0.000000000000000e+00 3.112578804566890e+00 1.653616233598246e+01
0.5 11 6.387138366699219e-02 6.387138366699219e-02 2.812961732314205e+00 0.000000000000000e+00 0.000000000000000e+00 2.749090348647213e+00 4.304103325802700e+01
0.5 12 2.337529659271240e-01 2.337529659271240e-01 1.510064586105402e-02 0.000000000000000e+00 0.000000000000000e+00 2.186523200660700e-01 9.353991261622671e-01
0.5 13 1.658042669296265e-01 1.658042669296265e-01 -2.582060208808253e+00 0.000000000000000e+00 0.000000000000000e+00 2.747864475737879e+00 1.657294185863248e+01
0.5 14 -5.717363953590393e-02 -5.717363953590393e-02 -2.503865801078937e+00 0.000000000000000e+00 0.000000000000000e+00 2.446692161543033e+00 4.279406001443302e+01
0.5 15 -2.100185006856918e-01 -2.100185006856918e-01 -1.048074615526984e-02 0.000000000000000e+00 0.000000000000000e+00 1.995377545304220e-01 9.500960814354396e-01
0.5 16 -1.498551354743540e-01 -1.498551354743540e-01 2.337220965673586e+00 0.000000000000000e+00 0.000000000000000e+00 2.487076101147940e+00 1.659653566943372e+01
0.5 17 5.221683974377811e-02 5.221683974377811e-02 2.278343404241087e+00 0.000000000000000e+00 0.000000000000000e+00 2.226126564497309e+00 4.263234955276211e+01
0.5 18 1.922962221433409e-01 1.922962221433409e-01 7.680730987114669e-03 0.000000000000000e+00 0.000000000000000e+00 1.846154911562262e-01 9.600578165212766e-01
0.5 19 1.377672102244105e-01 1.377672102244105e-01 -2.150951987004103e+00 0.000000000000000e+00 0.000000000000000e+00 2.288719197228513e+00 1.661294580546701e+01
0.5 20 -4.835838106737356e-02 -4.835838106737356e-02 -2.104474881766759e+00 0.000000000000000e+00 0.000000000000000e+00 2.056116500699385e+00 4.251830717481580e+01
0.5 21 -1.784138579223509e-01 -1.784138579223509e-01 -5.842635054119289e-03 0.000000000000000e+00 0.000000000000000e+00 1.725712228682316e-01 9.672523473111483e-01
0.5 22 -1.281987246779863e-01 -1.281987246779863e-01 2.003107084701744e+00 0.000000000000000e+00 0.000000000000000e+00 2.131305809379731e+00 1.662501569132776e+01
0.5 23 4.524493778421856e-02 4.524493778421856e-02 1.965149885955646e+00 0.000000000000000e+00 0.000000000000000e+00 1.919904948171428e+00 4.243358577102720e+01
0.5 24 1.671594460634509e-01 1.671594460634509e-01 4.564973825731995e-03 0.000000000000000e+00 0.000000000000000e+00 1.625944722377189e-01 9.726909012129701e-01
0.5 25 1.203811168693321e-01 1.203811168693321e-01 -1.882070216168203e+00 0.000000000000000e+00 0.000000000000000e+00 2.002451333037535e+00 1.663426445204940e+01
0.5 26 -4.266414120839634e-02 -4.266414120839634e-02 -1.850265956074326e+00 0.000000000000000e+00 0.000000000000000e+00 1.807601814865930e+00 4.236817532636030e+01
0.5 27 -1.577966215046347e-01 -1.577966215046347e-01 -3.637859836902267e-03 0.000000000000000e+00 0.000000000000000e+00 1.541587616677324e-01 9.769458952782749e-01
0.5 28 -1.138384028125269e-01 -1.138384028125269e-01 1.780612131017571e+00 1.387778780781446e-17 1.219077873981497e-16 1.894450533830098e+00 1.664157689343153e+01
0.5 29 4.047968696457777e-02 4.047968696457775e-02 1.753424338256346e+00 1.387778780781446e-17 3.428333776384778e-16 1.712944651291768e+00 4.231615360046388e+01
0.5 30 1.498488149006108e-01 1.498488149006108e-01 2.942205968421666e-03 0.000000000000000e+00 0.000000000000000e+00 1.469066089321892e-01 9.803655039222492e-01
0.5 31 1.082580079203644e-01 1.082580079203644e-01 -1.693967511795275e+00 4.163336342344337e-17 3.845753697414169e-16 1.802225519715639e+00 1.664750307470440e+01
0.5 32 -3.859956288835800e-02 -3.859956288835799e-02 -1.670349531455382e+00 1.387778780781446e-17 3.595322529416552e-16 1.631749968567024e+00 4.227379396203411e+01
0.5 33 -1.429921832522211e-01 -1.429921832522211e-01 -2.406042268215936e-03 2.775557561562891e-17 1.941055446833161e-16 1.405861409840051e-01 9.831736098191327e-01
0.5 34 -1.034250754009880e-01 -1.034250754009880e-01 1.618850944765952e+00 4.163336342344337e-17 4.025461258986489e-16 1.722276020166940e+00 1.665240284804750e+01
0.5 35 3.695911797832659e-02 3.695911797832657e-02 1.598061800901277e+00 2.775557561562891e-17 7.509804652780193e-16 1.561102682922951e+00 4.223863469464844e+01
0.5 36 1.369979535351437e-01 1.369979535351437e-01 1.983635144083371e-03 2.775557561562891e-17 2.025984688049289e-16 1.350143183910603e-01 9.855206950695471e-01
0.5 37 9.918640694089159e-02 9.918640694089162e-02 -1.552914112153701e+00 2.775557561562891e-17 2.798324535757139e-16 1.652100519094593e+00 1.665652149370763e+01
0.5 38 -3.551142159254956e-02 -3.551142159254954e-02 -1.534412465949865e+00 2.081668171172169e-17 5.861968003018248e-16 1.498901044357316e+00 4.220898452208940e+01
0.5 39 -1.316993126940266e-01 -1.316993126940267e-01 -1.644709672542764e-03 2.775557561562891e-17 2.107495859155520e-16 1.300546030214839e-01 9.875116305552492e-01
0.5 40 -9.542943523261548e-02 -9.542943523261553e-02 1.494428003499483e+00 5.551115123125783e-17 5.816984151267979e-16 1.589857438732098e+00 1.666003193728137e+01
0.5 41 3.422147270341801e-02 3.422147270341799e-02 1.477807866551970e+00 2.775557561562891e-17 8.110573106006835e-16 1.443586393848552e+00 4.218364318682192e+01
0.5 42 1.269713800411686e-01 1.269713800411686e-01 1.368531391141767e-03 2.775557561562891e-17 2.185971012257217e-16 1.256028486500269e-01 9.892217333489008e-01
0.5 43 9.206934414432813e-02 9.206934414432817e-02 -1.442087623513005e+00 4.163336342344337e-17 4.521957206318186e-16 1.534156967657333e+00 1.666305958748207e+01
0.5 44 -3.306256526118129e-02 -3.306256526118128e-02 -1.427037692559882e+00 6.938893903907228e-18 2.098716130794054e-16 1.393975127298700e+00 4.216173537312801e+01
